H,2025/6/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
［データ区分］,［伝票日付］,［伝票No］,［取引状態］,［自社コード］,［自社会員名］,［自社担当者］,［取引先コード］,［取引先名］,［納品場所コード］,［納品場所名］,［納品場所 住所］,［マイカタログID］,［自社管理商品コード］,［商品名］,［規格］,［入数］,［入数単位］,［単価］,［数量］,［単位］,［金額］,［消費税］,［小計］,［課税区分］,［税区分］,［合計 商品本体］,［合計 商品消費税］,［合計 送料本体］,［合計 送料消費税］,［合計 その他］,［総合計］,［発注日］,［発送日］,［納品日］,［受領日］,［取引ID_SYSTEM］,［伝票明細ID_SYSTEM］,［発注送信日］,［発注送信時間］,［送信日］,［送信時間］
D,2025/6/18,38860,発注済,,株式会社丸大一,西川信幸,,ＡＨ＆Ｒ〈両国駅タワー〉ラ・ベランダ（アパホテル株式会社）,,-既定納品場所-,東京都墨田区横網１－１１－１０,37748860,377100,バジル,,1,PC,180,4,PC,720,0,720,,外税,970,0,0,0,0,970,2025/6/18,,2025/6/19,,1651709319,1,2025/6/18,13:33,2025/6/18,13:33
D,2025/6/18,38860,発注済,,株式会社丸大一,西川信幸,,ＡＨ＆Ｒ〈両国駅タワー〉ラ・ベランダ（アパホテル株式会社）,,-既定納品場所-,東京都墨田区横網１－１１－１０,37824490,343000,茄子　ＦＧ,,0,PC,250,1,PC,250,0,250,,外税,,,,,,,2025/6/18,,2025/6/19,,1651709319,2,2025/6/18,13:33,2025/6/18,13:33
D,2025/6/18,608272,発注済,,株式会社丸大一,西川信幸,,館内宴会（株式会社サンケイ会館）,,厨房,東京都千代田区大手町1-7-2　東京サンケイビル2階 洋食厨房,140505773,336000,パセリ,,1,PC,350,1,PC,350,0,350,,外税,350,0,0,0,0,350,2025/6/18,,2025/6/19,,1651716957,1,2025/6/18,13:52,2025/6/18,13:52
D,2025/6/18,12956,発注済,,株式会社丸大一,西川信幸,,ＡＨ＆Ｒ〈両国駅タワー〉ＴＨＥ七海（アパホテル株式会社）,,-既定納品場所-,東京都墨田区横網1-11-10 アパホテル＆リゾート〈両国駅タワー〉31階鉄板焼THE七海,76973721,334601,フリルレタス,,0,PC,180,4,PC,720,0,720,,外税,960,0,0,0,0,960,2025/6/18,,2025/6/19,,1651727836,1,2025/6/18,14:18,2025/6/18,14:18
D,2025/6/18,12956,発注済,,株式会社丸大一,西川信幸,,ＡＨ＆Ｒ〈両国駅タワー〉ＴＨＥ七海（アパホテル株式会社）,,-既定納品場所-,東京都墨田区横網1-11-10 アパホテル＆リゾート〈両国駅タワー〉31階鉄板焼THE七海,38371306,377130,スペアミント,,0,PC,240,1,PC,240,0,240,,外税,,,,,,,2025/6/18,,2025/6/19,,1651727836,2,2025/6/18,14:18,2025/6/18,14:18
D,2025/6/18,608278,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192180,792090,デンファレ,,1,PC,1,3,PC,3,0,3,,外税,3790,0,0,0,0,3790,2025/6/18,,2025/6/19,,1651764625,1,2025/6/18,15:29,2025/6/18,15:29
D,2025/6/18,608278,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192196,334210,グリーンカール,,0,束,1,3,束,3,0,3,,外税,,,,,,,2025/6/18,,2025/6/19,,1651764625,2,2025/6/18,15:29,2025/6/18,15:29
D,2025/6/18,608278,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192121,334100,サニーレタス,,0,個,250,3,束,750,0,750,,外税,,,,,,,2025/6/18,,2025/6/19,,1651764625,3,2025/6/18,15:29,2025/6/18,15:29
D,2025/6/18,608278,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,140505773,336000,パセリ,,1,PC,350,1,PC,350,0,350,,外税,,,,,,,2025/6/18,,2025/6/19,,1651764625,4,2025/6/18,15:29,2025/6/18,15:29
D,2025/6/18,608278,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127236140,378030,ベビーリーフ,,1,PC,380,3,PC,1140,0,1140,,外税,,,,,,,2025/6/18,,2025/6/19,,1651764625,5,2025/6/18,15:29,2025/6/18,15:29
D,2025/6/18,608278,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192207,339700,エンダイブ,,0,束,1,1,PC,1,0,1,,外税,,,,,,,2025/6/18,,2025/6/19,,1651764625,6,2025/6/18,15:29,2025/6/18,15:29
D,2025/6/18,608278,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127191793,10000328,トマト　AM,,0,C/S,1,1,C/S,1,0,1,,外税,,,,,,,2025/6/18,,2025/6/19,,1651764625,7,2025/6/18,15:29,2025/6/18,15:29
D,2025/6/18,608278,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192256,366400,アーリーレッド,,0,kg,1,1,kg,1,0,1,,外税,,,,,,,2025/6/18,,2025/6/19,,1651764625,8,2025/6/18,15:29,2025/6/18,15:29
D,2025/6/18,608278,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192224,343000,茄子　ＦＧ,,0,PC,1,1,PC,1,0,1,,外税,,,,,,,2025/6/18,,2025/6/19,,1651764625,9,2025/6/18,15:29,2025/6/18,15:29
D,2025/6/18,608278,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,147381080,342700,ズッキーニ（本）,,1,本,220,2,本,440,0,440,,外税,,,,,,,2025/6/18,,2025/6/19,,1651764625,10,2025/6/18,15:29,2025/6/18,15:29
D,2025/6/18,608278,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127191792,341000,胡瓜（本）,,1,本,55,20,本,1100,0,1100,,外税,,,,,,,2025/6/18,,2025/6/19,,1651764625,11,2025/6/18,15:29,2025/6/18,15:29
D,2025/6/18,608284,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127350151,379900,ヤングーコーン,,0,PC,220,2,PC,440,0,440,,外税,2165,0,0,0,0,2165,2025/6/18,,2025/6/19,,1651770357,1,2025/6/18,15:40,2025/6/18,15:40
D,2025/6/18,608284,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,156409046,331000,アスパラガス,,1,束,380,2,束,760,0,760,,外税,,,,,,,2025/6/18,,2025/6/19,,1651770357,2,2025/6/18,15:40,2025/6/18,15:40
D,2025/6/18,608284,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192224,343000,茄子　ＦＧ,,0,PC,1,2,PC,2,0,2,,外税,,,,,,,2025/6/18,,2025/6/19,,1651770357,3,2025/6/18,15:40,2025/6/18,15:40
D,2025/6/18,608284,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192181,791280,ミニチンゲンサイ,,1,PC,120,8,PC,960,0,960,,外税,,,,,,,2025/6/18,,2025/6/19,,1651770357,4,2025/6/18,15:40,2025/6/18,15:40
D,2025/6/18,608284,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192241,367100,ニンニクの芽,,0,束,1,3,束,3,0,3,,外税,,,,,,,2025/6/18,,2025/6/19,,1651770357,5,2025/6/18,15:40,2025/6/18,15:40
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
